,Divy,Div,Price,Low1,High1,Low52,High52,EPS,PE,Vol,Cap
ASIATRAVEL.COM HOLDINGS LTD (5AM),,,0.0270,0.0270,0.0270,0.0270,0.0270,,,,
ASL MARINE HOLDINGS LTD (A04),,,0.0710,0.0710,0.0710,0.0410,0.1090,-0.118,,"5,906",44.678M
ASPEN (GROUP) HOLDINGS LIMITED (1F3),,,0.1500,0.1500,0.1500,0.1080,0.2350,,5.17,"13,034",144.543M
ASPIAL CORPORATION LIMITED (A30),3.85,0.01,0.1950,0.1900,0.1950,0.1800,0.2600,0.015,13.00,"29,060",377.616M
ASTAKA HOLDINGS LIMITED (42S),,,0.0880,0.0880,0.0880,0.0610,0.0930,,,306,164.51M
ASTI HOLDINGS LIMITED (575),39.22,0.02,0.0510,0.0480,0.0480,0.0470,0.1140,0.041,1.17,"271,210",31.427M
ATLANTIC NAVIGATION HLDG(S)LTD (5UL),,,0.1000,0.1000,0.1000,0.1000,0.1000,,,,
ATTILAN GROUP LIMITED (5ET),,,0.0020,0.0020,0.0020,0.0020,0.0020,,,,
AUSGROUP LIMITED (5GJ),,,0.0320,0.0300,0.0310,0.0300,0.0535,0.01,5.00,"3,426,771",91.447M
AVARGA LIMITED (U09),25.53,0.06,0.2350,0.2350,0.2450,0.1910,0.2650,0.012,19.58,"162,860",222.561M
AVI-TECH ELECTRONICS LIMITED (BKY),5.42,0.02,0.2950,0.2850,0.2950,0.2800,0.5350,0.019,15.00,"50,154",48.748M
AVIC INTL MARITIME HLDGLIMITED (O2I),,,0.0960,0.0960,0.0980,0.0850,0.1750,,6.00,"15,579",27.415M
AXCELASIA INC. (42U),,,0.0850,0.0850,0.0850,0.0240,0.1000,,,15,13.627M
AYONDO LTD. (1I5),,,0.0480,0.0450,0.0560,0.0450,0.2750,,,"50,965",24.47M
AZEUS SYSTEMS HOLDINGS LTD. (BBW),2.97,0.01,0.3650,0.3650,0.3650,0.2100,0.4400,0.042,8.69,"3,559",10.95M
BAKER TECHNOLOGY LIMITED (BTP),,,0.4000,0.3950,0.4000,0.3950,0.6400,0.09,4.60,"35,347",81.151M
BAN LEONG TECHNOLOGIES LIMITED (B26),6.48,0.02,0.2650,0.2650,0.2650,0.2000,0.2700,0.043,6.16,"3,212",30.19M
BANYAN TREE HOLDINGS LIMITED (B58),1.72,0.01,0.5800,0.5600,0.5800,0.4800,0.6200,0.016,35.31,"333,729",474.24M
BBR HOLDINGS (S) LTD (KJ5),2.35,0.00,0.1700,0.1690,0.1700,0.1610,0.2350,0.01,18.89,"26,495",54.806M
BENG KUANG MARINE LIMITED (BEZ),,,0.0650,0.0400,0.0770,0.0390,0.0960,-0.086,,"3,304",10.396M
BEST WORLD INTERNATIONAL LTD (CGN),1.63,0.04,2.3300,2.2400,2.4600,1.1500,3.3300,0.13,17.97,"3,673,018",1.313B
BH GLOBAL CORPORATION LIMITED (BQN),,,0.0870,0.0870,0.0870,0.0549,0.2517,-0.215,,"13,980",26.1M
BIOLIDICS LIMITED (8YY),,,0.2800,0.2600,0.2900,0.1800,0.3300,,,"196,388",70.325M
BLACKGOLD NATURAL RESOURCESLTD (41H),,,0.0120,0.0120,0.0120,0.0120,0.0810,,,"2,505,085",11.239M
BLUMONT GROUP LTD. (A33),,,0.0030,0.0020,0.0030,0.0020,0.0050,0.000,,"2,648,940",55.142M
BM MOBILITY LTD. (I9T),,,0.0070,0.0070,0.0070,0.0070,0.0130,-0.019,,"47,195",3.685M
BOARDROOM LIMITED (B10),3.23,0.03,0.7750,0.7700,0.7800,0.6550,0.8200,0.033,23.48,"1,979",162.486M
BOLDTEK HOLDINGS LIMITED (5VI),,,0.0840,0.0780,0.0840,0.0730,0.2150,,,"24,981",15.592M
BONVESTS HOLDINGS LTD (B28),1.22,0.02,1.3100,1.3000,1.3100,1.2300,1.4100,0.03,43.67,"9,018",525.987M
BOUSTEAD PROJECTS LIMITED (AVM),1.60,0.01,0.9400,0.9350,0.9350,0.7800,0.9400,0.098,9.54,"44,321",289.576M
BOUSTEAD SINGAPORE LIMITED (F9D),3.75,0.03,0.8000,0.7900,0.8000,0.7600,0.8500,0.07,11.27,"91,698",394.388M
BRC ASIA LIMITED (BEC),0.75,0.01,1.3300,1.3200,1.3400,1.1400,1.5700,0.07,20.00,"316,051",312.669M
BREADTALK GROUP LIMITED (CTN),1.73,0.01,0.8650,0.8700,0.8700,0.7950,1.2600,0.03,32.22,"211,657",490.051M
BRITISH & MALAYAN HLDG LIMITED (CJN),0.86,0.03,3.5000,3.5000,3.5000,3.3800,3.5000,-0.06,,28,30.653M
BROADWAY INDUSTRIAL GROUP LTD (B69),,,0.0550,0.0530,0.0530,0.0340,0.1210,0.004,13.25,"51,609",24.855M
BROOK CROMPTON HOLDINGS LTD. (AWC),2.78,0.02,0.7200,0.7000,0.7300,0.6000,0.8950,0.10,7.06,"2,496",25.53M
BUKIT SEMBAWANG ESTATES LTD (B61),0.71,0.04,5.65,5.61,5.68,5.21,6.32,0.54,10.46,"49,140",1.458B
BUMITAMA AGRI LTD. (P8Z),4.14,0.03,0.6650,0.6600,0.6800,0.5900,0.7350,0.05,13.60,"228,898",1.182B
BUND CENTER INVESTMENT LTD (BTE),3.76,0.02,0.5850,0.5650,0.5900,0.5500,0.7600,0.04,16.86,"12,626",447.674M
C&G ENV PROTECT HLDGS LTD (D79),,,0.0150,0.0070,0.0150,0.0050,0.0150,-0.000,,160,14.666M
CACOLA FURNITURE INTL LIMITED (D2U),,,0.0010,0.0010,0.0010,0.0010,0.0010,,,,
CAMSING HEALTHCARE LIMITED (BAC),,,1.0700,1.0700,1.0700,0.9000,1.0700,-0.03,,46,32.1M
CAPITAL WORLD LIMITED. (1D5),,,0.0490,0.0490,0.0490,0.0310,0.0800,,3.77,"445,076",64.537M
CAPITALAND LIMITED (C31),3.50,0.12,3.4300,3.4000,3.5000,2.9800,3.8000,0.39,8.95,"6,708,041",14.528B
CAPTII LIMITED (AWV),3.33,0.01,0.3900,0.3900,0.3900,0.3700,0.5750,0.07,5.34,"1,204",12.463M
CASA HOLDINGS LIMITED (C04),,,0.0700,0.0700,0.0700,0.0450,0.1240,0.01,4.67,"3,014",14.688M
CDW HOLDING LIMITED (BXE),8.62,0.01,0.1730,0.1780,0.1780,0.1710,0.2500,0.001,178.00,"34,378",40.449M
CEI LIMITED (AVV),1.56,0.01,0.9250,0.9300,0.9400,0.8400,1.0400,0.086,10.87,"10,248",81.063M
CENTURION CORPORATION LIMITED (OU8),4.76,0.02,0.4200,0.4100,0.4200,0.3950,0.5100,0.09,4.47,"142,596",353.127M
CFM HOLDINGS LIMITED (5EB),,,0.0280,0.0280,0.0280,0.0170,0.0390,,,625,5.643M
CH OFFSHORE LTD (C13),,,0.0820,0.0820,0.0820,0.0710,0.2150,-0.041,,848,57.801M
CHALLENGER TECHNOLOGIES LTD (573),6.08,0.03,0.5100,0.5100,0.5100,0.4600,0.5500,0.06,9.11,"35,048",176.056M
CHARISMA ENERGY SERVICES LTD (5QT),,,0.0020,0.0020,0.0020,0.0010,0.0050,,,"1,226,520",26.333M
CHASEN HOLDINGS LIMITED (5NV),5.48,0.00,0.0730,0.0740,0.0740,0.0610,0.0890,0.017,4.35,"604,221",28.64M
CHASWOOD RESOURCES HLDGS LTD. (5TW),,,0.0090,0.0090,0.0090,0.0090,0.0090,,,,
CHEMICAL INDUSTRIES (F.E.) LTD (C05),2.05,0.01,0.7300,0.7000,0.7300,0.6600,0.8000,0.14,5.29,"1,907",55.44M
CHEUNG WOH TECHNOLOGIES LTD (C50),1.04,0.00,0.1400,0.1400,0.1400,0.1100,0.1660,-0.02,,"1,851",42.31M
CHINA AVIATION OIL(S) CORP LTD (G92),3.33,0.04,1.3500,1.2800,1.3500,1.0400,1.6600,0.10,12.38,"966,239",1.118B
CHINA ENVIRONMENT LTD. (5OU),,,0.0370,0.0370,0.0370,0.0370,0.0370,,,,
CHINA ENVIRONMENTAL RES GP LTD (RS1),,,0.0150,0.0150,0.0150,0.0150,0.0310,-0.011,,"2,126",25.678M
CHINA ESSENCE GROUP LTD. (G54),,,0.0140,0.0140,0.0140,0.0140,0.0140,,,,
CHINA EVERBRIGHT WATER LIMITED (U9E),2.76,0.01,0.3550,0.3500,0.3900,0.2950,0.4550,0.03,12.26,"846,896",1.017B
CHINA FISHERY GROUP LIMITED (B0Z),,,0.0760,0.0760,0.0760,0.0760,0.0760,,,,
CHINA GAOXIAN FIBREFAB HLDGLTD (AZZ),,,0.0070,0.0070,0.0080,0.0070,0.0600,-0.117,,"6,500","796,250"
CHINA GREAT LAND HOLDINGS LTD. (D50),,,0.0050,0.0050,0.0050,0.0050,0.0050,,,,
CHINA HAIDA LTD. (C92),,,0.0250,0.0070,0.0260,0.0030,0.0360,-0.018,,"2,290",6.372M
CHINA HONGXING SPORTS LIMITED (BR9),,,,,,,,,,,
CHINA INTERNATIONAL HLDGS LTD (BEH),,,0.5500,0.5500,0.5500,0.1800,0.5500,-0.01,,339,39.176M
CHINA JINJIANG ENV HLDG CO LTD (BWM),8.03,0.05,0.6350,0.5850,0.6100,0.4300,0.6850,0.07,8.68,"81,835",851.518M
CHINA JISHAN HOLDINGS LIMITED (J18),,,0.1100,0.1100,0.1100,0.0600,0.1750,0.00,110.00,"7,467",33.165M
CHINA KANGDA FOOD COMPANY LTD (P74),,,0.1700,0.1100,0.1700,0.0700,0.1700,-0.00,,"4,612",73.601M
CHINA KUNDA TECH HOLDINGS LTD (GU5),,,0.0100,0.0100,0.0100,0.0100,0.0100,,,"100,000",4.098M
CHINA MEDICAL (INTL) GP LTD (VFP),,,0.0020,0.0020,0.0020,0.0010,0.0040,,,"10,531,818",21.249M
CHINA MINING INTERNATIONAL LTD (BHD),,,0.2400,0.2400,0.2400,0.2400,0.2400,,,,
CHINA PAPER HOLDINGS LIMITED (C71),,,0.0240,0.0240,0.0240,0.0240,0.0240,,,,
CHINA REAL ESTATE GRP LTD. (5RA),,,0.0020,0.0020,0.0020,0.0010,0.0040,,,"971,525",35.648M
"CHINA SKY CHEM FIBRE CO., LTD. (E90)",,,0.0270,0.0270,0.0270,0.0270,0.0270,,,,
CHINA SPORTS INTL LIMITED (FQ8),,,0.0110,0.0110,0.0110,0.0110,0.0110,,,,
CHINA STAR FOOD GROUP LIMITED (42W),,,0.0290,0.0270,0.0290,0.0190,0.0890,,3.22,"1,037,737",8.61M
CHINA SUNSINE CHEM HLDGS LTD. (CH8),2.38,0.03,1.2600,1.1600,1.2500,0.9050,1.6500,0.20,5.66,"897,759",569.922M
CHINA TAISAN TECH GRP HLDGSLTD (AZW),,,0.0280,0.0280,0.0280,0.0280,0.0280,,,,
CHINA YUANBANG PROP HLDGS LTD (BCD),,,0.3350,0.2050,0.3350,0.1500,0.3400,0.021,15.95,"2,042",23.249M
CHINESE GLOBAL INVESTORS GRP (5CJ),,,0.0100,0.0100,0.0100,0.0100,0.0100,,,,
CHIP ENG SENG CORPORATION LTD (C29),5.33,0.04,0.7500,0.7500,0.7700,0.6400,1.0300,0.10,7.68,"1,620,029",475.771M
CHOO CHIANG HOLDINGS LTD. (42E),,,0.2900,0.2900,0.3000,0.1910,0.3200,,12.08,640,60.32M
CHUAN HUP HOLDINGS LIMITED (C33),2.99,0.01,0.3350,0.3300,0.3400,0.2750,0.3450,0.010,33.50,"275,964",310.971M
