,Code
UNION STEEL HOLDINGS LIMITED,BLA
UNITED ENGINEERS LTD ORD,U04
UNITED FOOD HOLDINGS LIMITED,AZR
UNITED GLOBAL LIMITED,43P
UNITED INDUSTRIAL CORP LTD,U06
UNITED OVERSEAS AUSTRALIA LTD,EH5
UNITED OVERSEAS BANK LTD,U11
UNITED OVERSEAS INSURANCE LTD,U13
UNIVERSAL RESOURCE & SVCS LTD,BGO
UNUSUAL LIMITED,1D1
UOB-KAY HIAN HOLDINGS LIMITED,U10
UOL GROUP LIMITED,U14
USP GROUP LIMITED,BRS
VALLIANZ HOLDINGS LTD,WPC
VALUEMAX GROUP LIMITED,T6I
VALUETRONICS HOLDINGS LIMITED,BN2
VASHION GROUP LTD.,1F4
VENTURE CORPORATION LIMITED,V03
VERSALINK HOLDINGS LIMITED,40N
VIBRANT GROUP LIMITED,BIP
VIBROPOWER CORPORATION LIMITED,BJD
VICOM LTD,V01
VICPLAS INTERNATIONAL LTD,569
VIKING OFFSHORE AND MARINE LTD,557
VIVIDTHREE HOLDINGS LTD.,OMK
WEE HUR HOLDINGS LTD.,E3B
WILLAS-ARRAY ELEC (HLDGS) LTD,BDR
WILMAR INTERNATIONAL LIMITED,F34
WILTON RESOURCES CORP LIMITED,5F7
WING TAI HLDGS LTD,W05
WONG FONG INDUSTRIES LIMITED,1A1
WORLD CLASS GLOBAL LIMITED,1E6
WORLD PRECISION MACHINERY LTD,B49
XMH HOLDINGS LTD.,BQF
Y VENTURES GROUP LTD.,1F1
YAMADA GREEN RESOURCES LIMITED,BJV
YANGZIJIANG SHIPBLDG HLDGS LTD,BS6
YANGZIJIANG SHIPBLDG HLDGS RMB,SO7
YANLORD LAND GROUP LIMITED,Z25
YEO HIAP SENG LTD,Y03
YHI INTERNATIONAL LIMITED,BPF
YINDA INFOCOMM LIMITED,42F
YING LI INTL REAL ESTATE LTD,5DM
YOMA STRATEGIC HOLDINGS LTD,Z59
YONGMAO HOLDINGS LIMITED,BKX
YONGNAM HOLDINGS LIMITED,AXB
YORKSHINE HOLDINGS LIMITED,MR8
YUUZOO NETWORKS GROUP CORP,AFC
ZHONGMIN BAIHUI RETAIL GRP LTD,5SR
ZHONGXIN FRUIT AND JUICE LTD,5EG
ZICO HOLDINGS INC.,40W
3CNERGY LIMITED,502
800 SUPER HOLDINGS LIMITED,5TG
8TELECOM INTL HOLDINGS CO LTD,AZG
