,Divy,Div,Price,Low7,High7,Low52,High52,EPS,PE,ROE,NTA,Vol,Cap
KARYON (0054),2.22,0.300,0.135,0.130,0.155,0.125,0.235,1.58,8.54,7.52,0.210,"10,898",64.22m
KAWAN (7216),1.40,2.500,1.790,1.620,1.820,1.620,2.715,6.52,27.45,7.24,0.900,873,643.54m
KBUNAI (3115),0.00,0.000,0.085,0.085,0.110,0.070,0.125,0.35,24.29,2.32,0.151,"20,856",491.01m
KEINHIN (7199),1.59,1.000,0.630,0.530,0.630,0.445,0.630,1.61,39.13,1.58,1.020,74,68.61m
KEN (7323),3.57,2.500,0.700,0.680,0.780,0.555,0.940,12.55,5.58,7.05,1.780,153,134.20m
KENANGA (6483),5.36,3.000,0.560,0.550,0.585,0.530,0.780,1.65,33.94,1.36,1.210,"2,063",404.74m
KERJAYA (7161),4.84,6.000,1.240,1.220,1.380,0.990,1.740,11.14,11.13,14.10,0.790,"4,526",1.540b
KESM (9334),1.93,18.500,9.600,8.760,10.000,7.350,20.615,71.15,13.49,8.50,8.368,770,412.94m
KEYASIC (0143),0.00,0.000,0.110,0.095,0.125,0.095,0.245,0.44,25.00,11.89,0.037,"81,291",104.56m
KFIMA (6491),5.52,9.000,1.630,1.550,1.660,1.350,1.670,21.14,7.71,7.55,2.800,375,460.04m
KFM (8303),0.00,0.000,0.140,0.130,0.170,0.080,0.170,-3.01,-,-,-0.390,121,9.55m
KGB (0151),1.18,1.500,1.270,1.150,1.340,0.575,1.340,6.49,19.57,14.62,0.444,"17,642",361.08m
KGROUP (0036),0.00,0.000,0.045,0.040,0.050,0.040,0.105,-1.23,-,-7.78,0.158,"23,401",23.43m
KHEESAN (6203),1.67,1.000,0.600,0.575,0.600,0.540,0.685,-,-,-,1.300,572,62.40m
KHIND (7062),0.59,1.000,1.700,1.690,1.720,1.400,1.960,3.94,43.15,1.21,3.250,45,68.10m
KIALIM (6211),0.00,0.000,0.220,0.215,0.250,0.200,0.400,-9.88,-,-10.31,0.958,94,13.63m
KIANJOO (3522),1.32,4.000,3.040,2.790,3.050,2.000,3.050,3.86,78.76,1.18,3.280,961,1.350b
KIMHIN (5371),4.00,5.000,1.250,1.180,1.260,1.090,1.520,-38.02,-,-11.99,3.170,67,194.52m
KIMLUN (5171),4.40,5.500,1.250,1.140,1.300,1.000,2.145,18.42,6.79,9.20,2.003,"1,485",414.86m
KINSTEL (5060),0.00,0.000,0.005,0.005,0.005,0.005,0.005,-7.37,-,-,-0.515,0,5.25m
KIPREIT (5280),8.23,6.830,0.830,0.785,0.840,0.620,0.850,7.20,11.53,7.19,1.001,"2,152",419.40m
KKB (9466),1.63,2.000,1.230,0.900,1.270,0.780,1.270,6.84,17.98,5.90,1.160,933,317.08m
KLCC (5235SS),4.77,37.000,7.750,7.691,7.960,6.401,7.960,40.15,19.30,5.54,7.250,"4,102",13.991b
KLK (2445),1.82,45.000,24.760,24.020,25.480,22.810,25.530,64.04,38.66,6.33,10.110,"8,919",26.431b
KLUANG (2453),0.28,1.000,3.520,3.510,3.700,3.496,4.385,-12.18,-,-1.18,10.356,49,222.37m
KMLOONG (5027),14.29,18.000,1.260,1.230,1.310,1.130,1.460,7.30,17.26,9.36,0.780,939,1.179b
KNM (7164),0.00,0.000,0.095,0.085,0.120,0.070,0.230,-32.70,-,-51.09,0.640,"88,884",225.10m
KNUSFOR (5035),0.00,0.000,0.370,0.350,0.470,0.350,0.890,-29.30,-,-13.77,2.128,16,36.87m
KOBAY (6971),0.00,0.000,1.530,1.310,1.560,0.890,1.700,15.44,9.91,9.41,1.640,"1,666",156.20m
KOMARK (7017),0.00,0.000,0.165,0.155,0.225,0.120,0.245,-14.01,-,-41.21,0.340,"7,651",27.13m
KOSSAN (7153),2.86,11.000,3.850,3.730,4.200,3.130,4.690,15.92,24.18,15.76,1.010,"13,131",4.924b
KOTRA (0002),2.86,5.000,1.750,1.660,1.800,1.570,1.870,13.74,12.74,11.95,1.150,56,251.51m
KPJ (5878),1.98,2.000,1.010,1.000,1.100,0.825,1.160,4.05,24.94,9.00,0.450,"51,932",4.474b
KPOWER (7130),0.00,0.000,0.480,0.370,0.480,0.330,0.730,-5.46,-,-18.20,0.300,273,36.55m
KPS (5843),3.22,4.250,1.320,1.270,1.460,1.040,2.060,-38.26,-,-18.13,2.110,"8,608",709.35m
KPSCB (9121),0.00,0.000,0.515,0.485,0.565,0.470,0.880,-,-,-,1.800,"6,556",76.13m
KRETAM (1996),2.47,1.000,0.405,0.380,0.410,0.365,0.860,-1.26,-,-0.04,28.700,"21,126",942.69m
KRONO (0176),0.00,0.000,0.625,0.595,0.685,0.430,0.810,4.10,15.24,10.00,0.410,"43,806",249.26m
KSENG (3476),2.13,10.000,4.700,4.400,5.000,3.660,5.000,11.17,42.08,1.78,6.260,341,1.699b
KSL (5038),0.00,0.000,0.835,0.825,0.880,0.675,1.040,21.60,3.87,7.80,2.770,"3,774",866.32m
KSSC (5192),3.60,2.000,0.555,0.300,0.580,0.285,0.740,0.94,59.04,1.13,0.830,"2,858",53.28m
KSTAR (5172),0.00,0.000,0.080,0.080,0.095,0.075,0.145,-10.63,-,-143.65,0.074,"28,241",30.48m
KTB (4847),0.00,0.000,0.070,0.060,0.075,0.050,0.160,-10.36,-,-79.69,0.130,"6,271",28.20m
